keywords,intent_name
Send money to John.,transfer_funds
Can I create a checking account?,open_account
I need to wire some money.,transfer_funds
Help me set up a bank account.,open_account
Send money to John.,transfer_funds
Send money to John.,transfer_funds
Show me my account balance.,check_balance
Can I create a checking account?,open_account
Send money to John.,transfer_funds
What's my current balance?,check_balance
What's my current balance?,check_balance
Can I create a checking account?,open_account
Show me my account balance.,check_balance
What's my current balance?,check_balance
Move 5411000 to my savings.,transfer_funds
Move 9601000 to my savings.,transfer_funds
Help me set up a bank account.,open_account
Check my bank balance.,check_balance
Transfer 504500 to my brother.,transfer_funds
I want to open a new savings account.,open_account
Can I create a checking account?,open_account
I'd like to start a new account.,open_account
What's my current balance?,check_balance
Can I create a checking account?,open_account
Send money to John.,transfer_funds
I'd like to start a new account.,open_account
Check my bank balance.,check_balance
Send money to John.,transfer_funds
Show me my account balance.,check_balance
Check my bank balance.,check_balance
What's my current balance?,check_balance
I want to open a new savings account.,open_account
Move 8501000 to my savings.,transfer_funds
Show me my account balance.,check_balance
I need to wire some money.,transfer_funds
How much money do I have?,check_balance
Move 1621000 to my savings.,transfer_funds
I want to open a new savings account.,open_account
How much money do I have?,check_balance
Move 5371000 to my savings.,transfer_funds
I need to wire some money.,transfer_funds
Check my bank balance.,check_balance
I need to wire some money.,transfer_funds
I want to open a new savings account.,open_account
Move 9561000 to my savings.,transfer_funds
I'd like to start a new account.,open_account
Check my bank balance.,check_balance
I want to open a new savings account.,open_account
How much money do I have?,check_balance
How much money do I have?,check_balance
I want to open a new savings account.,open_account
Transfer 821500 to my brother.,transfer_funds
I want to open a new savings account.,open_account
How much money do I have?,check_balance
I want to open a new savings account.,open_account
Send money to John.,transfer_funds
What's my current balance?,check_balance
Send money to John.,transfer_funds
I want to open a new savings account.,open_account
I need to wire some money.,transfer_funds
Show me my account balance.,check_balance
Can I create a checking account?,open_account
Can I create a checking account?,open_account
Show me my account balance.,check_balance
What's my current balance?,check_balance
I want to open a new savings account.,open_account
Move 6251000 to my savings.,transfer_funds
Help me set up a bank account.,open_account
I'd like to start a new account.,open_account
I need to wire some money.,transfer_funds
Move 8371000 to my savings.,transfer_funds
How much money do I have?,check_balance
Help me set up a bank account.,open_account
Can I create a checking account?,open_account
I'd like to start a new account.,open_account
Send money to John.,transfer_funds
Help me set up a bank account.,open_account
I'd like to start a new account.,open_account
Help me set up a bank account.,open_account
I need to wire some money.,transfer_funds
I want to open a new savings account.,open_account
Help me set up a bank account.,open_account
Send money to John.,transfer_funds
Can I create a checking account?,open_account
I'd like to start a new account.,open_account
I need to wire some money.,transfer_funds
How much money do I have?,check_balance
Can I create a checking account?,open_account
Move 9711000 to my savings.,transfer_funds
I need to wire some money.,transfer_funds
How much money do I have?,check_balance
Transfer 470500 to my brother.,transfer_funds
I want to open a new savings account.,open_account
Check my bank balance.,check_balance
Can I create a checking account?,open_account
What's my current balance?,check_balance
Send money to John.,transfer_funds
Transfer 580500 to my brother.,transfer_funds
Check my bank balance.,check_balance
Show me my account balance.,check_balance
What's my current balance?,check_balance
Can I create a checking account?,open_account
Move 1001000 to my savings.,transfer_funds
What's my current balance?,check_balance
Show me my account balance.,check_balance
I need to wire some money.,transfer_funds
What's my current balance?,check_balance
Check my bank balance.,check_balance
Move 7821000 to my savings.,transfer_funds
Send money to John.,transfer_funds
Help me set up a bank account.,open_account
Move 9121000 to my savings.,transfer_funds
I'd like to start a new account.,open_account
Move 2471000 to my savings.,transfer_funds
Move 3921000 to my savings.,transfer_funds
Send money to John.,transfer_funds
Show me my account balance.,check_balance
I need to wire some money.,transfer_funds
Send money to John.,transfer_funds
Check my bank balance.,check_balance
Show me my account balance.,check_balance
Help me set up a bank account.,open_account
Send money to John.,transfer_funds
Can I create a checking account?,open_account
Move 5821000 to my savings.,transfer_funds
Transfer 584500 to my brother.,transfer_funds
I'd like to start a new account.,open_account
I need to wire some money.,transfer_funds
Check my bank balance.,check_balance
I need to wire some money.,transfer_funds
I want to open a new savings account.,open_account
Check my bank balance.,check_balance
I want to open a new savings account.,open_account
Check my bank balance.,check_balance
Can I create a checking account?,open_account
I need to wire some money.,transfer_funds
Can I create a checking account?,open_account
How much money do I have?,check_balance
I want to open a new savings account.,open_account
Check my bank balance.,check_balance
I want to open a new savings account.,open_account
Move 6781000 to my savings.,transfer_funds
Send money to John.,transfer_funds
How much money do I have?,check_balance
Check my bank balance.,check_balance
Can I create a checking account?,open_account
Send money to John.,transfer_funds
Move 3131000 to my savings.,transfer_funds
Help me set up a bank account.,open_account
Check my bank balance.,check_balance
What's my current balance?,check_balance
What's my current balance?,check_balance
Help me set up a bank account.,open_account
Transfer 519500 to my brother.,transfer_funds
Check my bank balance.,check_balance
Show me my account balance.,check_balance
Send money to John.,transfer_funds
Check my bank balance.,check_balance
Move 451000 to my savings.,transfer_funds
Transfer 897500 to my brother.,transfer_funds
What's my current balance?,check_balance
Help me set up a bank account.,open_account
I'd like to start a new account.,open_account
Help me set up a bank account.,open_account
Move 5031000 to my savings.,transfer_funds
I'd like to start a new account.,open_account
Help me set up a bank account.,open_account
Move 5671000 to my savings.,transfer_funds
How much money do I have?,check_balance
Move 3201000 to my savings.,transfer_funds
Help me set up a bank account.,open_account
Move 1311000 to my savings.,transfer_funds
Move 2881000 to my savings.,transfer_funds
Move 3941000 to my savings.,transfer_funds
What's my current balance?,check_balance
Can I create a checking account?,open_account
I'd like to start a new account.,open_account
Can I create a checking account?,open_account
I need to wire some money.,transfer_funds
Can I create a checking account?,open_account
Can I create a checking account?,open_account
I want to open a new savings account.,open_account
I want to open a new savings account.,open_account
Help me set up a bank account.,open_account
Move 7151000 to my savings.,transfer_funds
I'd like to start a new account.,open_account
Show me my account balance.,check_balance
Show me my account balance.,check_balance
What's my current balance?,check_balance
What's my current balance?,check_balance
Show me my account balance.,check_balance
Help me set up a bank account.,open_account
Send money to John.,transfer_funds
Transfer 501500 to my brother.,transfer_funds
I want to open a new savings account.,open_account
Send money to John.,transfer_funds
Can I create a checking account?,open_account
Transfer 874500 to my brother.,transfer_funds
Check my bank balance.,check_balance
Can I create a checking account?,open_account
Check my bank balance.,check_balance
Transfer 389500 to my brother.,transfer_funds
Show me my account balance.,check_balance
Move 1491000 to my savings.,transfer_funds
Can I create a checking account?,open_account
I'd like to start a new account.,open_account
I want to open a new savings account.,open_account
Send money to John.,transfer_funds
I'd like to start a new account.,open_account
What's my current balance?,check_balance
Help me set up a bank account.,open_account
Can I create a checking account?,open_account
Show me my account balance.,check_balance
I need to wire some money.,transfer_funds
Can I create a checking account?,open_account
Send money to John.,transfer_funds
I need to wire some money.,transfer_funds
I'd like to start a new account.,open_account
What's my current balance?,check_balance
Can I create a checking account?,open_account
Check my bank balance.,check_balance
I want to open a new savings account.,open_account
I want to open a new savings account.,open_account
How much money do I have?,check_balance
Check my bank balance.,check_balance
I need to wire some money.,transfer_funds
Help me set up a bank account.,open_account
I want to open a new savings account.,open_account
How much money do I have?,check_balance
Show me my account balance.,check_balance
Check my bank balance.,check_balance
I want to open a new savings account.,open_account
Show me my account balance.,check_balance
I want to open a new savings account.,open_account
How much money do I have?,check_balance
Check my bank balance.,check_balance
I'd like to start a new account.,open_account
Help me set up a bank account.,open_account
Check my bank balance.,check_balance
How much money do I have?,check_balance
I want to open a new savings account.,open_account
Check my bank balance.,check_balance
Check my bank balance.,check_balance
How much money do I have?,check_balance
I want to open a new savings account.,open_account
I'd like to start a new account.,open_account
Check my bank balance.,check_balance
Help me set up a bank account.,open_account
Transfer 494500 to my brother.,transfer_funds
Check my bank balance.,check_balance
Can I create a checking account?,open_account
I'd like to start a new account.,open_account
Send money to John.,transfer_funds
How much money do I have?,check_balance
Help me set up a bank account.,open_account
Move 5251000 to my savings.,transfer_funds
I'd like to start a new account.,open_account
Send money to John.,transfer_funds
How much money do I have?,check_balance
I need to wire some money.,transfer_funds
Transfer 535500 to my brother.,transfer_funds
I need to wire some money.,transfer_funds
Help me set up a bank account.,open_account
I want to open a new savings account.,open_account
Help me set up a bank account.,open_account
Send money to John.,transfer_funds
Check my bank balance.,check_balance
What's my current balance?,check_balance
I need to wire some money.,transfer_funds
Show me my account balance.,check_balance
Show me my account balance.,check_balance
I'd like to start a new account.,open_account
I need to wire some money.,transfer_funds
Check my bank balance.,check_balance
I need to wire some money.,transfer_funds
How much money do I have?,check_balance
Help me set up a bank account.,open_account
I'd like to start a new account.,open_account
Transfer 507500 to my brother.,transfer_funds
I'd like to start a new account.,open_account
I need to wire some money.,transfer_funds
Check my bank balance.,check_balance
How much money do I have?,check_balance
I need to wire some money.,transfer_funds
Show me my account balance.,check_balance
I need to wire some money.,transfer_funds
Send money to John.,transfer_funds
Show me my account balance.,check_balance
How much money do I have?,check_balance
Check my bank balance.,check_balance
Check my bank balance.,check_balance
Send money to John.,transfer_funds
