text,intent,domain
I need to book an appointment with the doctor.,book_appointment,medical
Get me the latest report.,check_results,medical
Get me the latest report.,check_results,medical
Can I get more of my prescription?,refill_prescription,medical
Refill my prescription please.,refill_prescription,medical
Do you have my test results?,check_results,medical
What are my lab test results?,check_results,medical
Can I get more of my prescription?,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
Do you have my test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
What are my lab test results?,check_results,medical
I need to book an appointment with the doctor.,book_appointment,medical
Refill my prescription please.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Do you have my test results?,check_results,medical
Can I see a doctor this Friday?,book_appointment,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Show my blood test outcome.,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
What are my lab test results?,check_results,medical
Get me the latest report.,check_results,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
What are my lab test results?,check_results,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
Can I get more of my prescription?,refill_prescription,medical
I want to make a medical appointment.,book_appointment,medical
Do you have my test results?,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Get me the latest report.,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Get me the latest report.,check_results,medical
Refill my prescription please.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
I want to make a medical appointment.,book_appointment,medical
Can I get more of my prescription?,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Can I get more of my prescription?,refill_prescription,medical
Can I see a doctor this Friday?,book_appointment,medical
I want to make a medical appointment.,book_appointment,medical
Can I get more of my prescription?,refill_prescription,medical
Show my blood test outcome.,check_results,medical
I need a refill on my medication.,refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I want to make a medical appointment.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
Do you have my test results?,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Get me the latest report.,check_results,medical
Do you have my test results?,check_results,medical
What are my lab test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
Get me the latest report.,check_results,medical
Get me the latest report.,check_results,medical
I need to book an appointment with the doctor.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Get me the latest report.,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Show my blood test outcome.,check_results,medical
Can I get more of my prescription?,refill_prescription,medical
Get me the latest report.,check_results,medical
I need a refill on my medication.,refill_prescription,medical
Can I see a doctor this Friday?,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
I want to make a medical appointment.,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
Do you have my test results?,check_results,medical
Get me the latest report.,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Refill my prescription please.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
Do you have my test results?,check_results,medical
Refill my prescription please.,refill_prescription,medical
I want to make a medical appointment.,book_appointment,medical
Get me the latest report.,check_results,medical
Do you have my test results?,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Refill my prescription please.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I want to make a medical appointment.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Do you have my test results?,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Get me the latest report.,check_results,medical
What are my lab test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
What are my lab test results?,check_results,medical
I need to book an appointment with the doctor.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
Get me the latest report.,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
What are my lab test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
Do you have my test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
What are my lab test results?,check_results,medical
Refill my prescription please.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Get me the latest report.,check_results,medical
Can I get more of my prescription?,refill_prescription,medical
Show my blood test outcome.,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
Show my blood test outcome.,check_results,medical
What are my lab test results?,check_results,medical
Refill my prescription please.,refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
Do you have my test results?,check_results,medical
Refill my prescription please.,refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
Can I see a doctor this Friday?,book_appointment,medical
Refill my prescription please.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
What are my lab test results?,check_results,medical
Show my blood test outcome.,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Get me the latest report.,check_results,medical
I need to book an appointment with the doctor.,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
What are my lab test results?,check_results,medical
Can I see a doctor this Friday?,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
What are my lab test results?,check_results,medical
I need to book an appointment with the doctor.,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Do you have my test results?,check_results,medical
I need to book an appointment with the doctor.,book_appointment,medical
Show my blood test outcome.,check_results,medical
Do you have my test results?,check_results,medical
Get me the latest report.,check_results,medical
Do you have my test results?,check_results,medical
Get me the latest report.,check_results,medical
I need a refill on my medication.,refill_prescription,medical
Get me the latest report.,check_results,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
What are my lab test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
Can I see a doctor this Friday?,book_appointment,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Do you have my test results?,check_results,medical
Refill my prescription please.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I need to book an
appointment with the doctor.,book_appointment,medical
Can I get more of my prescription?,refill_prescription,medical
Do you have my test results?,check_results,medical
What are my lab test results?,check_results,medical
Do you have my test results?,check_results,medical
Show my blood test outcome.,check_results,medical
What are my lab test results?,check_results,medical
What are my lab test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
Get me the latest report.,check_results,medical
I want to make a medical appointment.,book_appointment,medical
What are my lab test results?,check_results,medical
Do you have my test results?,check_results,medical
What are my lab test results?,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Do you have my test results?,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Get me the latest report.,check_results,medical
Refill my prescription please.,refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Get me the latest report.,check_results,medical
What are my lab test results?,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Do you have my test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
Refill my prescription please.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
What are my lab test results?,check_results,medical
Can I get more of my prescription?,refill_prescription,medical
Show my blood test outcome.,check_results,medical
What are my lab test results?,check_results,medical
Refill my prescription please.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Can I get more of my prescription?,refill_prescription,medical
What are my lab test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
Where is my order?,track_order,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Get me the latest report.,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Do you have my test results?,check_results,medical
Show my blood test outcome.,check_results,medical
Get me the latest report.,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Can I see a doctor this Friday?,book_appointment,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Get me the latest report.,check_results,medical
Can I get more of my prescription?,refill_prescription,medical
Show my blood test outcome.,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Get me the latest report.,check_results,medical
I need a refill on my medication.,refill_prescription,medical
Can I see a doctor this Friday?,book_appointment,medical
What are my lab test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
What are my lab test results?,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Show my blood test outcome.,check_results,medical
I need to book an appointment with the doctor.,book_appointment,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Refill my prescription please.,refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
What are my lab test results?,check_results,medical
Where is my order?,track_order,medical
I need a refill on my medication.,refill_prescription,medical
Do you have my test results?,check_results,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I want to make a medical appointment.,book_appointment,medical
Do you have my test results?,check_results,medical
Show my blood test outcome.,check_results,medical
Get me the latest report.,check_results,medical
Can I see a doctor this Friday?,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
I want to make a medical appointment.,book_appointment,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Show my blood test outcome.,check_results,medical
Can I see a doctor this Friday?,book_appointment,medical
Do you have my test results?,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Get me the latest report.,check_results,medical
Do you have my test results?,check_results,medical
What are my lab test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
Get me the latest report.,check_results,medical
What are my lab test results?,check_results,medical
Get me the latest report.,check_results,medical
I need to book an appointment with the doctor.,book_appointment,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
What are my lab test results?,check_results,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
What are my lab test results?,check_results,medical
Do you have my test results?,check_results,medical
Show my blood test outcome.,check_results,medical
What are my lab test results?,check_results,medical
Refill my prescription please.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Get me the latest report.,check_results,medical
I need a refill on my medication.,refill_prescription,medical
Get me the latest report.,check_results,medical
Refill my prescription please.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
Do you have my test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Do you have my test results?,check_results,medical
Get me the latest report.,check_results,medical
What are my lab test results?,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Show my blood test outcome.,check_results,medical
I need a refill on my medication.,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
Refill my prescription please.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
What are my lab test results?,check_results,medical
Can I get more of my prescription?,refill_prescription,medical
Show my blood test outcome.,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Refill my prescription please.,refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
Can I see a doctor this Friday?,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
What are my lab test results?,check_results,medical
Do you have my test results?,check_results,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I want to make a medical appointment.,book_appointment,medical
Do you have my test results?,check_results,medical
Show my blood test outcome.,check_results,medical
Get me the latest report.,check_results,medical
Can I see a doctor this Friday?,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
I want to make a medical appointment.,book_appointment,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Show my blood test outcome.,check_results,medical
Can I see a doctor this Friday?,book_appointment,medical
Do you have my test results?,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Get me the latest report.,check_results,medical
Do you have my test results?,check_results,medical
What are my lab test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
Get me the latest report.,check_results,medical
What are my lab test results?,check_results,medical
Get me the latest report.,check_results,medical
I need to book an appointment with the doctor.,book_appointment,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
What are my lab test results?,check_results,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
What are my lab test results?,check_results,medical
Do you have my test results?,check_results,medical
Show my blood test outcome.,check_results,medical
What are my lab test results?,check_results,medical
Refill my prescription please.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Get me the latest report.,check_results,medical
I need a refill on my medication.,refill_prescription,medical
Get me the latest report.,check_results,medical
Refill my prescription please.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
Do you have my test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Do you have my test results?,check_results,medical
Get me the latest report.,check_results,medical
What are my lab test results?,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Show my blood test outcome.,check_results,medical
I need a refill on my medication.,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
Refill my prescription please.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
What are my lab test results?,check_results,medical
Can I get more of my prescription?,refill_prescription,medical
Show my blood test outcome.,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Refill my prescription please.,refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
Can I see a doctor this Friday?,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
What are my lab test results?,check_results,medical
Do you have my test results?,check_results,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I want to make a medical appointment.,book_appointment,medical
Do you have my test results?,check_results,medical
Show my blood test outcome.,check_results,medical
Get me the latest report.,check_results,medical
Can I see a doctor this Friday?,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
I want to make a medical appointment.,book_appointment,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Can I see a doctor this Friday?,book_appointment,medical
I need to book an appointment with the doctor.,book_appointment,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
Show my blood test outcome.,check_results,medical
Can I see a doctor this Friday?,book_appointment,medical
Do you have my test results?,check_results,medical
I want to make a medical appointment.,book_appointment,medical
Get me the latest report.,check_results,medical
Do you have my test results?,check_results,medical
What are my lab test results?,check_results,medical
I need a refill on my medication.,refill_prescription,medical
Get me the latest report.,check_results,medical
What are my lab test results?,check_results,medical
Get me the latest report.,check_results,medical
I need to book an appointment with the doctor.,book_appointment,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
What are my lab test results?,check_results,medical
Schedule a dentist visit for tomorrow.,book_appointment,medical
I need a refill on my medication.,refill_prescription,medical
