text,intent,domain
I want to check the shipping status.,track_order,retail
Show me some new shoes.,browse_products,retail
Send money to John.,transfer_funds,banking
I'd like to return my order.,return_item,retail
I need to book an appointment with the doctor.,book_appointment,medical
Can I create a checking account?,open_account,banking
I'm looking for a new jacket.,browse_products,retail
How can I send back an item?,return_item,retail
I need to wire some money.,transfer_funds,banking
Get me the latest report.,check_results,medical
Help me set up a bank account.,open_account,banking
Can I see the latest electronics?,browse_products,retail
Send money to John.,transfer_funds,banking
Get me the latest report.,check_results,medical
Send money to John.,transfer_funds,banking
Can I get more of my prescription?,refill_prescription,medical
Refill my prescription please.,refill_prescription,medical
Show me my account balance.,check_balance,banking
Do you have my test results?,check_results,medical
I'd like to return my order.,return_item,retail
Can I see the latest electronics?,browse_products,retail
I want to return a product.,return_item,retail
Can I create a checking account?,open_account,banking
What are my lab test results?,check_results,medical
Can I get more of my prescription?,refill_prescription,medical
I need to book an appointment with the doctor.,book_appointment,medical
Track my package.,track_order,retail
"I'm out of meds, can you refill it?",refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Send money to John.,transfer_funds,banking
How can I send back an item?,return_item,retail
What's my current balance?,check_balance,banking
What's my current balance?,check_balance,banking
I'd like to return my order.,return_item,retail
I need a refill on my medication.,refill_prescription,medical
Can I get more of my prescription?,refill_prescription,medical
I want to return a product.,return_item,retail
Can I see the latest electronics?,browse_products,retail
I need to book an appointment with the doctor.,book_appointment,medical
I want to return a product.,return_item,retail
Do you have my test results?,check_results,medical
Show me some new shoes.,browse_products,retail
I want to return a product.,return_item,retail
Can I create a checking account?,open_account,banking
I want to return a product.,return_item,retail
I want to check the shipping status.,track_order,retail
Show me my account balance.,check_balance,banking
What's my current balance?,check_balance,banking
Move 5411000 to my savings.,transfer_funds,banking
How can I send back an item?,return_item,retail
Move 9601000 to my savings.,transfer_funds,banking
Help me set up a bank account.,open_account,banking
I'd like to return my order.,return_item,retail
Help me with a return.,return_item,retail
I need a refill on my medication.,refill_prescription,medical
I want to check the shipping status.,track_order,retail
I want to check the shipping status.,track_order,retail
I need a refill on my medication.,refill_prescription,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
I need a refill on my medication.,refill_prescription,medical
What are my lab test results?,check_results,medical
How can I send back an item?,return_item,retail
Can I see the latest electronics?,browse_products,retail
Check my bank balance.,check_balance,banking
Transfer 504500 to my brother.,transfer_funds,banking
Show me some new shoes.,browse_products,retail
Show me some new shoes.,browse_products,retail
I need to book an appointment with the doctor.,book_appointment,medical
I want to open a new savings account.,open_account,banking
Refill my prescription please.,refill_prescription,medical
Where is my order?,track_order,retail
Can I create a checking account?,open_account,banking
I'd like to start a new account.,open_account,banking
Schedule a dentist visit for tomorrow.,book_appointment,medical
What's my current balance?,check_balance,banking
How can I send back an item?,return_item,retail
Can I create a checking account?,open_account,banking
What clothes are on sale?,browse_products,retail
Send money to John.,transfer_funds,banking
I'm looking for a new jacket.,browse_products,retail
Track my package.,track_order,retail
I'd like to start a new account.,open_account,banking
Do you have my test results?,check_results,medical
Can I see a doctor this Friday?,book_appointment,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Is my delivery on the way?,track_order,retail
Check my bank balance.,check_balance,banking
I'd like to return my order.,return_item,retail
Show my blood test outcome.,check_results,medical
"I'm out of meds, can you refill it?",refill_prescription,medical
Send money to John.,transfer_funds,banking
"I'm out of meds, can you refill it?",refill_prescription,medical
Show me my account balance.,check_balance,banking
Check my bank balance.,check_balance,banking
What clothes are on sale?,browse_products,retail
I'd like to return my order.,return_item,retail
I want to check the shipping status.,track_order,retail
Help me with a return.,return_item,retail
What clothes are on sale?,browse_products,retail
What are my lab test results?,check_results,medical
Get me the latest report.,check_results,medical
What's my current balance?,check_balance,banking
I want to open a new savings account.,open_account,banking
Schedule a dentist visit for tomorrow.,book_appointment,medical
Can I see the latest electronics?,browse_products,retail
