text,intent,domain
Send money to John.,transfer_funds,banking
Can I create a checking account?,open_account,banking
I need to wire some money.,transfer_funds,banking
Help me set up a bank account.,open_account,banking
Send money to John.,transfer_funds,banking
Send money to John.,transfer_funds,banking
Show me my account balance.,check_balance,banking
Can I create a checking account?,open_account,banking
Send money to John.,transfer_funds,banking
What's my current balance?,check_balance,banking
What's my current balance?,check_balance,banking
Can I create a checking account?,open_account,banking
Show me my account balance.,check_balance,banking
What's my current balance?,check_balance,banking
Move 5411000 to my savings.,transfer_funds,banking
Move 9601000 to my savings.,transfer_funds,banking
Help me set up a bank account.,open_account,banking
Check my bank balance.,check_balance,banking
Transfer 504500 to my brother.,transfer_funds,banking
I want to open a new savings account.,open_account,banking
Can I create a checking account?,open_account,banking
I'd like to start a new account.,open_account,banking
What's my current balance?,check_balance,banking
Can I create a checking account?,open_account,banking
Send money to John.,transfer_funds,banking
I'd like to start a new account.,open_account,banking
Check my bank balance.,check_balance,banking
Send money to John.,transfer_funds,banking
Show me my account balance.,check_balance,banking
Check my bank balance.,check_balance,banking
What's my current balance?,check_balance,banking
I want to open a new savings account.,open_account,banking
Move 8501000 to my savings.,transfer_funds,banking
Show me my account balance.,check_balance,banking
I need to wire some money.,transfer_funds,banking
How much money do I have?,check_balance,banking
Move 1621000 to my savings.,transfer_funds,banking
I want to open a new savings account.,open_account,banking
How much money do I have?,check_balance,banking
Move 5371000 to my savings.,transfer_funds,banking
I need to wire some money.,transfer_funds,banking
Check my bank balance.,check_balance,banking
I need to wire some money.,transfer_funds,banking
I want to open a new savings account.,open_account,banking
Move 9561000 to my savings.,transfer_funds,banking
I'd like to start a new account.,open_account,banking
Check my bank balance.,check_balance,banking
I want to open a new savings account.,open_account,banking
How much money do I have?,check_balance,banking
How much money do I have?,check_balance,banking
I want to open a new savings account.,open_account,banking
Transfer 821500 to my brother.,transfer_funds,banking
I want to open a new savings account.,open_account,banking
How much money do I have?,check_balance,banking
I want to open a new savings account.,open_account,banking
Send money to John.,transfer_funds,banking
What's my current balance?,check_balance,banking
Send money to John.,transfer_funds,banking
I want to open a new savings account.,open_account,banking
I need to wire some money.,transfer_funds,banking
Show me my account balance.,check_balance,banking
Can I create a checking account?,open_account,banking
Can I create a checking account?,open_account,banking
Show me my account balance.,check_balance,banking
What's my current balance?,check_balance,banking
I want to open a new savings account.,open_account,banking
Move 6251000 to my savings.,transfer_funds,banking
Help me set up a bank account.,open_account,banking
I'd like to start a new account.,open_account,banking
I need to wire some money.,transfer_funds,banking
Move 8371000 to my savings.,transfer_funds,banking
How much money do I have?,check_balance,banking
Help me set up a bank account.,open_account,banking
Can I create a checking account?,open_account,banking
I'd like to start a new account.,open_account,banking
Send money to John.,transfer_funds,banking
Help me set up a bank account.,open_account,banking
I'd like to start a new account.,open_account,banking
Help me set up a bank account.,open_account,banking
I need to wire some money.,transfer_funds,banking
I want to open a new savings account.,open_account,banking
Help me set up a bank account.,open_account,banking
Send money to John.,transfer_funds,banking
Can I create a checking account?,open_account,banking
I'd like to start a new account.,open_account,banking
I need to wire some money.,transfer_funds,banking
How much money do I have?,check_balance,banking
Can I create a checking account?,open_account,banking
Move 9711000 to my savings.,transfer_funds,banking
I need to wire some money.,transfer_funds,banking
How much money do I have?,check_balance,banking
Transfer 470500 to my brother.,transfer_funds,banking
I want to open a new savings account.,open_account,banking
Check my bank balance.,check_balance,banking
Can I create a checking account?,open_account,banking
What's my current balance?,check_balance,banking
Send money to John.,transfer_funds,banking
Transfer 580500 to my brother.,transfer_funds,banking
Check my bank balance.,check_balance,banking
Show me my account balance.,check_balance,banking
What's my current balance?,check_balance,banking
Can I create a checking account?,open_account,banking
Move 1001000 to my savings.,transfer_funds,banking
What's my current balance?,check_balance,banking
Show me my account balance.,check_balance,banking
I need to wire some money.,transfer_funds,banking
What's my current balance?,check_balance,banking
Check my bank balance.,check_balance,banking
Move 7821000 to my savings.,transfer_funds,banking
Send money to John.,transfer_funds,banking
Help me set up a bank account.,open_account,banking
Move 9121000 to my savings.,transfer_funds,banking
I'd like to start a new account.,open_account,banking
Move 2471000 to my savings.,transfer_funds,banking
Move 3921000 to my savings.,transfer_funds,banking
Send money to John.,transfer_funds,banking
Show me my account balance.,check_balance,banking
I need to wire some money.,transfer_funds,banking
Send money to John.,transfer_funds,banking
Check my bank balance.,check_balance,banking
Show me my account balance.,check_balance,banking
Help me set up a bank account.,open_account,banking
Send money to John.,transfer_funds,banking
Can I create a checking account?,open_account,banking
Move 5821000 to my savings.,transfer_funds,banking
Transfer 584500 to my brother.,transfer_funds,banking
I'd like to start a new account.,open_account,banking
I need to wire some money.,transfer_funds,banking
Check my bank balance.,check_balance,banking
I need to wire some money.,transfer_funds,banking
I want to open a new savings account.,open_account,banking
Check my bank balance.,check_balance,banking
I want to open a new savings account.,open_account,banking
Check my bank balance.,check_balance,banking
Can I create a checking account?,open_account,banking
I need to wire some money.,transfer_funds,banking
Can I create a checking account?,open_account,banking
How much money do I have?,check_balance,banking
I want to open a new savings account.,open_account,banking
Check my bank balance.,check_balance,banking
I want to open a new savings account.,open_account,banking
Move 6781000 to my savings.,transfer_funds,banking
Send money to John.,transfer_funds,banking
How much money do I have?,check_balance,banking
Check my bank balance.,check_balance,banking
Can I create a checking account?,open_account,banking
Send money to John.,transfer_funds,banking
Move 3131000 to my savings.,transfer_funds,banking
Help me set up a bank account.,open_account,banking
Check my bank balance.,check_balance,banking
What's my current balance?,check_balance,banking
What's my current balance?,check_balance,banking
Help me set up a bank account.,open_account,banking
Transfer 519500 to my brother.,transfer_funds,banking
Check my bank balance.,check_balance,banking
Show me my account balance.,check_balance,banking
Send money to John.,transfer_funds,banking
Check my bank balance.,check_balance,banking
Move 451000 to my savings.,transfer_funds,banking
Transfer 897500 to my brother.,transfer_funds,banking
What's my current balance?,check_balance,banking
Help me set up a bank account.,open_account,banking
I'd like to start a new account.,open_account,banking
Help me set up a bank account.,open_account,banking
Move 5031000 to my savings.,transfer_funds,banking
I'd like to start a new account.,open_account,banking
Help me set up a bank account.,open_account,banking
Move 5671000 to my savings.,transfer_funds,banking
How much money do I have?,check_balance,banking
Move 3201000 to my savings.,transfer_funds,banking
Help me set up a bank account.,open_account,banking
Move 1311000 to my savings.,transfer_funds,banking
Move 2881000 to my savings.,transfer_funds,banking
Move 3941000 to my savings.,transfer_funds,banking
What's my current balance?,check_balance,banking
Can I create a checking account?,open_account,banking
I'd like to start a new account.,open_account,banking
Can I create a checking account?,open_account,banking
